Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
215,Yes,Yes,No,Employed full-time,Bd,Cd,8,2,1,-1,72000,1,5,4,2,2,0,3,2
216,Yes,No,No,Employed full-time,Nd,Cd,5,4,3,-2,65000,2,5,5,4,1,1,0,3
217,No,No,No,Employed full-time,Bd,Ns,3,2,2,2,125000,1,4,4,2,0,0,0,4
218,No,No,No,Employed full-time,Ad,Cd,4,3,2,-3,75000,2,1,2,3,1,0,0,5
219,Yes,No,No,Employed full-time,Bd,Cd,6,2,2,2,60000,2,5,3,2,1,0,1,2
220,Yes,No,No,Employed full-time,Bd,Bu,4,1,1,2,80000,2,5,2,2,1,1,3,3
221,Yes,No,No,Employed full-time,Bd,Ss,3,2,2,3,90000,2,5,4,2,1,0,1,3
222,Yes,Yes,No,Employed full-time,Bd,In,1,2,2,-2,70000,1,5,4,3,2,0,1,3
223,Yes,Yes,"Yes, full-time",Employed part-time,Nd,Cd,8,2,,,30000,1,5,3,2,2,0,2,2
224,Yes,No,No,Employed full-time,Bd,Ns,2,1,1,3,55000,1,5,3,3,0,0,3,2
225,Yes,Yes,No,Employed full-time,Bd,Cd,2,3,3,3,110000,1,5,4,3,2,0,3,3
226,No,No,No,Employed full-time,Md,Cd,6,6,6,2,,3,5,5,3,2,0,2,4
227,Yes,Yes,No,Employed full-time,Bd,Ma,5,8,7,1,120000,3,5,5,3,2,0,0,4
228,Yes,No,"Yes, full-time",Employed full-time,Nd,Cd,4,2,1,3,50000,1,5,5,3,1,1,1,2
229,Yes,Yes,No,Employed full-time,Bd,Ma,5,1,1,0,65000,2,0,3,3,2,2,2,3
230,Yes,No,No,Employed full-time,Bd,Cd,4,3,2,1,1.00E+05,2,5,4,3,2,0,1,3
231,Yes,No,"Yes, part-time",Employed full-time,Md,Bu,8,2,2,0,,2,2,4,3,2,1,2,3
232,Yes,No,No,Employed full-time,Bd,Ae,7,3,1,3,2.00E+06,3,5,3,3,1,0,1,2
233,Yes,Yes,No,Employed full-time,Sd,,4,10,8,2,150000,2,5,3,3,0,0,0,4
234,Yes,No,"Yes, part-time",Employed full-time,Bd,Cd,1,7,7,2,130000,3,5,5,3,0,0,0,4
235,Yes,Yes,No,Employed full-time,Bd,Ns,4,6,2,1,120000,2,3,,,,,,
236,Yes,No,No,Employed full-time,Bd,,4,6,6,2,105000,3,5,2,3,1,0,1,4
237,Yes,No,No,Employed full-time,Bd,Cd,8,3,1,1,72380,1,5,3,3,0,0,3,2
238,Yes,No,No,Employed full-time,Bd,Cd,3,2,1,2,50000,2,5,3,2,0,1,2,2
239,Yes,No,"Yes, part-time",Employed full-time,Bd,Cd,2,2,2,3,60000,2,5,5,3,0,0,1,3
240,Yes,Yes,No,Employed full-time,Md,Ma,2,7,7,-1,130000,1,5,1,3,3,0,3,5
241,Yes,Yes,No,Employed full-time,Bd,Cd,4,2,2,3,145000,2,4,2,3,1,0,2,3
242,Yes,Yes,No,Employed full-time,Bd,Cd,3,7,5,3,110000,3,5,1,3,0,1,0,3
243,No,No,No,Employed full-time,Ad,No,3,6,6,2,96000,2,3,3,3,0,1,0,4
244,Yes,No,No,Employed full-time,Bd,Cd,8,5,3,2,79899,2,3,2,3,2,0,3,3
245,Yes,Yes,No,Employed full-time,Md,Cd,4,6,5,1,145000,2,5,3,3,2,2,2,4
246,Yes,No,No,Employed full-time,Nd,Hu,8,9,9,2,96000,1,5,2,2,1,1,0,5
247,Yes,No,No,Employed full-time,Nd,No,5,3,2,1,57500,1,5,5,3,1,0,2,3
248,Yes,No,No,Employed full-time,Nd,Cd,4,3,3,3,72000,4,4,4,3,1,0,1,3
249,No,No,No,Employed full-time,Bd,Cd,3,3,1,-3,65000,2,4,3,3,2,1,2,3
250,Yes,Yes,No,Employed full-time,No,,4,10,6,0,153000,3,2,2,3,2,1,0,4
251,Yes,Yes,No,Employed full-time,Nd,Ss,3,7,7,3,130000,1,3,2,3,2,0,3,4
252,Yes,Yes,No,Employed full-time,Bd,Cd,3,3,2,3,2.00E+06,2,5,4,3,1,0,3,3
253,No,No,No,Employed full-time,Nd,Cd,3,6,6,3,90000,2,5,5,2,0,3,0,4
